소속 ,국회 ,직위 ,국회의원 ,성명 ,정용기 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"360,860","35,008","1,851","394,017",,,
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1152-1번지 126.00m² ,"5,985",819,0,"6,804",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1152-8번지 199.00m² ,"10,308",0,518,"9,790",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1152-9번지 442.00m² ,"23,647",0,"1,194","22,453",가액변동 
,,,,,,,
배우자 ,답 ,"경상남도 하동군 청암면 묵계리 1558번지 4,750.00m² ","80,275","8,550",0,"88,825",가액변동 
,,,,,,,
배우자 ,답 ,"경상남도 하동군 청암면 묵계리 1558-3번지 1,127.00m² ","4,992",417,0,"5,409",가액변동 
,,,,,,,
배우자 ,임야 ,경상남도 하동군 청암면 묵계리 1202번지 235.00m² ,216,21,0,237,가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1203번지 690.00m² ,"5,816","1,222",0,"7,038",가액변동 
,,,,,,,
배우자 ,도로 ,경상남도 하동군 청암면 묵계리 1203-1번지 334.00m² ,801,177,0,978,가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1203-2번지 21.00m² ,177,37,0,214,가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1206번지 66.00m² ,732,165,0,897,가액변동 
,,,,,,,
배우자 ,묘지 ,경상남도 하동군 청암면 묵계리 1208번지 46.00m² ,372,82,0,454,가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1209-3번지 360.00m² ,"3,337",731,0,"4,068",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 하동군 청암면 묵계리 1210-1번지 278.00m² ,"12,176",639,0,"12,815",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 1304번지 175.00m² ,"1,310",289,0,"1,599",가액변동 
,,,,,,,
배우자 ,임야 ,경상남도 하동군 청암면 묵계리 1348번지 486.00m² ,216,40,0,256,가액변동 
,,,,,,,
배우자 ,전 ,경상남도 하동군 청암면 묵계리 1509번지 821.00m² ,"6,231",624,0,"6,855",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 하동군 청암면 묵계리 1557-2번지 464.00m² ,"6,635",0,139,"6,496",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 하동군 청암면 묵계리 1580번지 592.00m² ,"5,328",485,0,"5,813",가액변동 
,,,,,,,
배우자 ,답 ,"경상남도 하동군 청암면 묵계리 1581-1번지 1,090.00m² ","29,321","4,033",0,"33,354",가액변동 
,,,,,,,
배우자 ,답 ,"경상남도 하동군 청암면 묵계리 573-3번지 3,441.00m² ","32,517","2,237",0,"34,754",가액변동 
,,,,,,,
배우자 ,답 ,"경상남도 하동군 청암면 묵계리 573-4번지 1,821.00m² ","17,208","1,184",0,"18,392",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 하동군 청암면 묵계리 721번지 1,660.00m² ","5,063",498,0,"5,561",가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 하동군 청암면 묵계리 722-1번지 12,513.00m² ","6,106",550,0,"6,656",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 752번지 902.00m² ,"6,755","1,489",0,"8,244",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 하동군 청암면 묵계리 755-1번지 457.00m² ,"3,422",754,0,"4,176",가액변동 
,,,,,,,
배우자 ,임야 ,경상남도 하동군 청암면 묵계리 산 104-4번지 689.00m² ,283,53,0,336,가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 하동군 청암면 묵계리 산 239번지 14,876.00m² 중 1,160.00m² ",359,35,0,394,가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 하동군 청암면 묵계리 산 256-5번지 1,002.00m² ",841,73,0,914,가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 하동군 청암면 묵계리 산 295-5번지 13,540.00m² ","6,404",731,0,"7,135",가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 하동군 청암면 묵계리 산 296-1번지 4,860.00m² ","2,070",219,0,"2,289",가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 하동군 청암면 묵계리 산 98번지 18,841.00m² ","7,724",754,0,"8,478",가액변동 
,,,,,,,
배우자 ,대지 ,부산광역시 서구 서대신동3가 240-11번지 128.00m² 중 26.50m² ,"52,867","4,823",0,"57,690",가액변동 
,,,,,,,
배우자 ,대지 ,"경상남도 하동군 청암면 묵계리 1509-2번지 1,003.00m² ","19,558","3,109",0,"22,667",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 하동군 청암면 묵계리 1509-3번지 174.00m² ,"1,320",132,0,"1,452",가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 하동군 청암면 묵계리 717-1번지 1,164.00m² ",488,36,0,524,가액변동 
,,,,,,,
▶ 건물(소계) ,"419,000","35,000",0,"454,000",,,
,,,,,,,
본인 ,아파트 ,경기도 고양시 덕양구 행신2동 건물 85.00m² ,"235,000","21,000",0,"256,000",가액변동 
,,,,,,,
본인 ,아파트 ,대전광역시 대덕구 오정동 신동아아파트 건물 126.35m² ,"164,000","4,000",0,"168,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대전광역시 대덕구 오정동 농협 3층 건물 148.00m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 도화동 마포한화오벨리스크 건물 38.88m² (건물 38.88m² 증가) ,- ,"10,000",0,"10,000",정치자금으로 임차한 국회의원 서울숙소 월세보증금 
,,,,,,,
▶ 예금(소계) ,"1,907,332","1,178,256","938,579","2,147,009",,,
,,,,,,,
본인 ,,"삼성생명보험 310,940, 우리은행 3, NH투자증권 0(2,952 감소), KB증권 0(99 감소), 새마을금고 5,489(118 증가), 신용협동조합중앙회 4,000, 한화투자증권 0(388 감소), 으뜸 35(1 증가), 농협은행 371,088(240,561 증가), 국민은행 15,512(27,496 감소), (주)KEB하나은행 173,923(2,509 감소), 농협중앙회 101,687(1,687 증가), 오정신협 370(81 증가), 오정신협 30,000(30,000 증가), 대한지방행정공제회 500,000 ","1,274,043","970,778","731,774","1,513,047","급여저축,정기예금만기해지후 재예치 (예금이자 등 금융소득), 주식매각에따른예금증가 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 499, 스탠다드차타드은행 80, 한화투자증권 0(572 감소), 국민은행 7,833(4,333 증가), 농협중앙회 163,406(203,320 감소), 삼성생명보험 250,000, 새마을금고 5,412(99 증가), 신용협동조합중앙회 5,401(90 증가), 우리 은행 200,000(200,000 증가), 산림조합중앙회 1,331(43 증가) ","633,289","207,478","206,805","633,962",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"138,395","24,500",0,"162,895",,,
,,,,,,,
본인 ,,"농협은행 162,895(24,500 증가) ","138,395","24,500",0,"162,895",정치자금 증가 
,,,,,,,
▶ 유가증권(소계) ,"135,723",0,"135,723",0,,,
,,,,,,,
본인 ,상장주식 ,"SBS미디어홀딩스 0주(110주 감소), 대우증권 0주(387주 감소), LG화학 0주(58주 감소), 현대중공업 0주(257주 감소), GS홀딩주보통주 0주(16주 감소), SK하이닉스 0주(106주 감소), 현대로보틱스 0주(54주 감소), 현대건설기계 0주(42주 감소), LG전자 0주(90주 감소), 아시아나항공 0주(222주 감소), SBS 0주(25주 감소), KB금융 0주(74주 감소), LG생활건강보통주 0주(16주 감소), LG 0주(30주 감소), LG하우시스 0주(7주 감소), SK텔레콤 0주(5주 감소), 하이트론 0주(99주 감소), 현대일렉트릭 0주(40주 감소) ","134,608",0,"134,608",0,직무관련성심사에따른주식매각 
,,,,,,,
배우자 ,상장주식 ,"SBS 0주(29주 감소), SBS미디어홀딩스 0주(120주 감소) ","1,115",0,"1,115",0,
,,,,,,,
▶ 채무(소계) ,"290,000",0,0,"290,000",,,
,,,,,,,
본인 ,건물임대채무 ,경기도 고양시 덕양구 행신2동 임대보증금 ,"290,000",0,0,"290,000",변동없음 
,,,,,,,
총계 ,"2,671,310","1,272,764","1,076,153","2,867,921","증 감 액 : 196,611천원 (가액변동: 58,157천원) ",,
,,,,,,,